,공지제목,게시부서,게시일자,링크
16,2024-25년 대한민국 유엔 안보리 진출 제2대 청년사절 신청 접수 안내,학생지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
17,2023-하계(단기) 표준현장실습학기제 실습생모집_노보텔 앰배서더즈 동대문,취업지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
18,「2023 제2회 모의 유네스코 회의」사무국원 모집 안내,학생지원팀,2023.05.04,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxODAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
19, , , , 
20,2023학년도 자생의료재단 자생한방병원 일반수련의 장학생 선발 안내,장학·복지팀,2023.05.03,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxNjAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
21,대학생 대상 2023년 청년마음건강지원사업 안내,학생지원팀,2023.05.03,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMzklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
22,『2023년 서울청년문화패스』참여자 모집 안내,학생지원팀,2023.05.03,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMzMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
23, , , , 
24, , , , 
25,[하나은행] 2023-1학기 국제학생증 ISIC 인증비 지원 행사 안내,학생지원팀,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
26,[IT역량강화교육] 6시그마 경영전문가 GB과정 모집 안내,대학일자리플러스센터,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
27,공과대학1 1층 (경비실 앞) 출입구 앞 자전거 거치대 정리 안내,공과대학,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
28,공과대학1 1층 출입구 옆 장구 정리 안내,공과대학,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYxMDAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
29,2023년 (재)서울장학재단 독립유공자 후손 장학금 장학생 선발 안내,장학·복지팀,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwOTglMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
30,2023년「경기청년 사다리 프로그램 사업」 참여자 모집(중국) 안내,학생지원팀,2023.05.02,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwNzQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
31,2023학년도 예술영재교육원 사회봉사자(TA) 모집,예술영재교육원,2023.04.29,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwNDklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
32, , , , 
33,"2023년 MICE 글로벌전문가(서포터즈, 인재뱅크) 모집 안내",학생지원팀,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwNDclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
34,2023-하계(단기) 표준현장실습학기제 실습생모집_인포뱅크(주),대학일자리플러스센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMzUlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
35,2023-하계(단기) 표준현장실습학기제 실습생모집_주식회사 비엔비케이,대학일자리플러스센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMzAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
36,(한국장학재단) 학자금대출 특별상환 유예대출 신청 안내,장학·복지팀,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
37,2023-하계(단기) 표준현장실습학기제 실습생모집_주식회사 바이트랩_마케팅,대학일자리플러스센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
38,2023 가천핵심역량진단 후기보고서 공모 수상자 발표,교육성과관리센터,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjYlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
39,2023학년도 하계방학 학생생활관 입사생 입사신청 안내,학생복지팀,2023.04.28,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMjIlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
40,경기도일자리재단 2023년 '텍스타일 디자이너 양성과정' 교육생 모집 안내,대학일자리플러스센터,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMTclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
41,2023년 상반기 신안군 (재)신안군장학재단 장학생 선발 안내,장학·복지팀,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMTQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
42,펄어비스 PA아트센터 현장실습 교내 채용설명회 안내,취업지원팀,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMDklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
43,2023년 5월 가천대 일자리플러스센터(취업진로처) 프로그램 일정 안내,대학일자리플러스센터,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMDQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
44,2023-하계방학 학생생활관 입사신청 안내,학생생활관,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODYwMDElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
45,2023년 상반기 삼성그룹 공채대비반 '면접 대비 특강·1:1 컨설팅' 모집 안내,대학일자리플러스센터,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5OTklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
46,2023학년도 2학기 가천대학교 Startup MBA 외국인 신입생 모집 설명회,창업대학,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5OTAlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
47,2023-1학기 장학사정관(릴레이쉽) 장학금 신청 안내,장학·복지팀,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NzElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
48,[의사소통센터] 외국인 유학생을 위한 <한국어로 배우는 한국문화> 특강,의사소통센터,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NjglMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
49,연수구「참전유공자 생신위문사업」봉사단 모집 안내,학생복지팀,2023.04.27,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NjQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMSUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
50, , , , 
51,[의사소통센터] 외국인 유학생을 위한 5월 프로그램 안내(中文/Tiếng Việt/Монгол хэл/O'zbek tili),의사소통센터,2023.04.26,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NTklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
52, , , , 
53,RE:(생활비)2023-1학기 가천문화재단 장학생 선발 결과 안내,장학·복지팀,2023.04.26,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NTclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
54,가천대학교 창업보육센터 입주기업모집 공고,창업보육센터,2023.04.26,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NTElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
55,중앙도서관 및 전자정보도서관 5월 휴관 안내,학술정보지원팀,2023.04.26,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NDklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
56, , , , 
57,2023 창의적 종합설계 아이디어 공모전 안내,공학교육혁신센터,2023.04.26,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5NDUlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
58, , , , 
59, , , , 
60,(모집마감)미래 신산업 창의융합캠프 2차(심화과정) 교육프로그램 참가자 모집,공학교육혁신센터,2023.04.25,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5MTMlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
61,"2023-1 학습전략워크숍 (학습법 특강) 안내: 레포트, 발표, 팀 프로젝트. 대학과제 단숨에 끝내기!!",교수학습개발센터,2023.04.25,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU5MDclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
62, , , , 
63,2023-1학기 (재)가천문화재단 장학생 선발 명단,학생복지팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4OTIlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
64,2023-하계(단기) 표준현장실습학기제 실습생모집_니코보코코리아,취업지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4ODUlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
65,2023-하계(단기) 표준현장실습학기제 실습생모집_버디네트웍스_마케팅(E커머스),취업지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4ODElMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
66, , , , 
67,2023-하계(단기) 표준현장실습학기제 실습생모집_버디네트웍스_마케팅(해외),취업지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NzklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
68,2023-하계(단기) 표준현장실습학기제 실습생모집_버디네트웍스_퍼포먼스미디어,취업지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NzglMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
69,2023-하계(단기) 표준현장실습학기제 실습생모집_앰배서더즈(노보텔),취업지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NzclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
70,2023-1학기 중소기업 취업연계 장학사업(희망사다리 I유형) 신규장학생 선발결과,장학·복지팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NzYlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
71,"2023년 우수학생 국가장학사업(인문100년, 예술체육비전) 신규장학생 선발결과",장학·복지팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NzQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
72, , , , 
73,[아르테크네센터] 2023 프로젝트 #5_찐로탐색,ArTechne센터,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NTklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
74,중앙도서관(M) 마일리지제도 시행 안내,중앙도서관(M),2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NTglMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
75,"논문작성 및 연구활동을 위한 온라인 이용교육(Web of Science, JCR)",학술정보지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NTclMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
76, , , , 
77, , , , 
78,2023. 성남시청소년상담복지센터 학습지원멘토단 모집 안내,학생지원팀,2023.04.24,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4NTQlMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
79,2023-하계(단기) 표준현장실습학기제 실습생모집_(주)픽셀로_마케팅팀,대학일자리플러스센터,2023.04.21,https://www.gachon.ac.kr/kor/7986/subview.do?enc=Zm5jdDF8QEB8JTJGY29tbW9uTm90aWNlJTJGa29yJTJGODU4MzklMkZhcnRjbFZpZXcuZG8lM0ZwYWdlJTNEMiUyNnNyY2hDb2x1bW4lM0QlMjZzcmNoV29yZCUzRCUyNg%3D%3D
80, , , , 
